sample_rate,block,blocks,mean_ms,p95_ms,max_ms,budget_ms,max_budget_percent
44100.000000,32,4134,0.003782,0.035200,0.167400,0.725624,23.069812
44100.000000,64,2067,0.007188,0.036300,0.115300,1.451247,7.944891
44100.000000,128,1033,0.014515,0.040900,0.087500,2.902494,3.014648
44100.000000,256,516,0.029030,0.044900,0.080500,5.804989,1.386738
44100.000000,512,258,0.058595,0.086700,0.150000,11.609977,1.291992
48000.000000,32,4500,0.003771,0.041300,0.063400,0.666667,9.510000
48000.000000,64,2250,0.007703,0.042500,0.124600,1.333333,9.345000
48000.000000,128,1125,0.015415,0.045500,0.142800,2.666667,5.355000
48000.000000,256,562,0.029309,0.048700,0.068900,5.333333,1.291875
48000.000000,512,281,0.059332,0.095300,0.141700,10.666667,1.328438
96000.000000,32,9000,0.002424,0.001300,0.060700,0.333333,18.210000
96000.000000,64,4500,0.004978,0.041500,0.151500,0.666667,22.725000
96000.000000,128,2250,0.009761,0.043700,0.152000,1.333333,11.400000
96000.000000,256,1125,0.019458,0.048200,0.104600,2.666667,3.922500
96000.000000,512,562,0.039524,0.062200,0.162700,5.333333,3.050625
