engine,rate,block,mean_ms,p95_ms,p99_ms,max_ms,max_budget_percent
0,44100,32,0.00126609,0.0013,0.0014,0.0532,7.33162
1,44100,32,0.00306039,0.0209,0.0225,0.1179,16.2481
2,44100,32,0.0429476,0.1075,0.1193,0.4116,56.7236
3,44100,32,0.0473145,0.1105,0.1307,0.2694,37.1267
4,44100,32,0.0502514,0.1117,0.1349,0.1983,27.3282
0,44100,64,0.00244569,0.0026,0.0027,0.0104,0.716625
1,44100,64,0.00611922,0.0221,0.0237,0.085,5.85703
2,44100,64,0.0865113,0.1257,0.1937,0.4765,32.8338
3,44100,64,0.0959985,0.1382,0.1947,1.0755,74.1087
4,44100,64,0.10206,0.1571,0.2095,0.4562,31.435
0,44100,128,0.00488957,0.0051,0.0068,0.0176,0.606375
1,44100,128,0.011939,0.025,0.0253,0.0508,1.75022
2,44100,128,0.17125,0.2272,0.2587,0.3022,10.4117
3,44100,128,0.19054,0.2644,0.3317,0.4796,16.5237
4,44100,128,0.203472,0.2832,0.3437,0.6312,21.7468
0,44100,256,0.00999507,0.0101,0.0174,0.0751,1.29371
1,44100,256,0.0246365,0.0329,0.0718,0.1981,3.41258
2,44100,256,0.344847,0.4588,0.5493,1.2704,21.8846
3,44100,256,0.381806,0.4794,0.5596,0.6152,10.5978
4,44100,256,0.401008,0.4829,0.5334,0.6196,10.6736
0,44100,512,0.0196844,0.0215,0.0321,0.0343,0.295436
1,44100,512,0.0484012,0.0624,0.0846,0.1109,0.955213
2,44100,512,0.700318,0.7761,0.8056,1.0145,8.73817
3,44100,512,0.78272,0.8843,0.9325,1.5439,13.298
4,44100,512,0.816107,0.9158,0.9932,1.0501,9.04481
0,48000,32,0.0012705,0.0013,0.0015,0.0305,4.575
1,48000,32,0.0029813,0.0227,0.0239,0.034,5.1
2,48000,32,0.0427496,0.1083,0.1149,0.2036,30.54
3,48000,32,0.0474873,0.1113,0.1279,0.1816,27.24
4,48000,32,0.0510449,0.1132,0.1375,0.2415,36.225
0,48000,64,0.00249887,0.0027,0.0029,0.0113,0.8475
1,48000,64,0.00598707,0.0237,0.0255,0.0812,6.09
2,48000,64,0.0847307,0.1156,0.134,0.1909,14.3175
3,48000,64,0.0958809,0.1397,0.1573,0.4592,34.44
4,48000,64,0.102352,0.158,0.1818,0.2574,19.305
0,48000,128,0.0051352,0.0053,0.0078,0.0703,2.63625
1,48000,128,0.011894,0.0269,0.0279,0.0423,1.58625
2,48000,128,0.171821,0.2299,0.2713,0.351,13.1625
3,48000,128,0.192033,0.2645,0.295,0.3435,12.8813
4,48000,128,0.202329,0.2921,0.3531,0.4918,18.4425
0,48000,256,0.0098808,0.0101,0.0165,0.0387,0.725625
1,48000,256,0.0239427,0.0306,0.0392,0.0888,1.665
2,48000,256,0.348573,0.4468,0.533,0.6525,12.2344
3,48000,256,0.380313,0.4855,0.5692,0.8965,16.8094
4,48000,256,0.407924,0.5144,0.6476,0.8211,15.3956
0,48000,512,0.0203282,0.0233,0.0488,0.0718,0.673125
1,48000,512,0.047909,0.0604,0.0723,0.1132,1.06125
2,48000,512,0.687524,0.8077,0.8572,0.9679,9.07406
3,48000,512,0.784709,0.9481,1.2924,1.3841,12.9759
4,48000,512,0.97397,1.5102,2.1488,2.8996,27.1837
0,96000,32,0.0015551,0.0023,0.0071,0.1448,43.44
1,96000,32,0.00337842,0.0062,0.0518,0.1453,43.59
2,96000,32,0.0505099,0.1524,0.2109,0.4634,139.02
3,96000,32,0.0548488,0.1541,0.2024,0.5373,161.19
4,96000,32,0.0602401,0.1679,0.2081,0.9554,286.62
0,96000,64,0.00271453,0.0027,0.0033,0.3369,50.535
1,96000,64,0.0061475,0.0444,0.0504,0.3231,48.465
2,96000,64,0.0993475,0.2461,0.2729,0.5852,87.78
3,96000,64,0.105174,0.253,0.2935,0.8733,130.995
4,96000,64,0.108878,0.2542,0.2983,0.6634,99.51
0,96000,128,0.00486013,0.005,0.0055,0.0453,3.3975
1,96000,128,0.0121263,0.0463,0.0601,0.1595,11.9625
2,96000,128,0.203876,0.3186,0.4657,1.8548,139.11
3,96000,128,0.214299,0.3147,0.3936,0.5174,38.805
4,96000,128,0.217792,0.3227,0.3943,0.6963,52.2225
0,96000,256,0.009764,0.0101,0.0116,0.025,0.9375
1,96000,256,0.0242551,0.0536,0.0672,0.2794,10.4775
2,96000,256,0.382303,0.5226,0.6288,1.289,48.3375
3,96000,256,0.417806,0.5589,0.6551,0.7389,27.7088
4,96000,256,0.434474,0.5952,0.6804,1.2431,46.6163
0,96000,512,0.0199213,0.02,0.0351,0.0966,1.81125
1,96000,512,0.0478107,0.0636,0.0934,0.1324,2.4825
2,96000,512,0.764241,0.9492,1.0694,1.243,23.3063
3,96000,512,0.850455,1.0748,1.2808,1.6457,30.8569
4,96000,512,0.870541,1.0804,1.2255,1.6123,30.2306
